,Player No,Player Name,Position,Successful,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,4,Pogany Anna (C),L,29,0,14,43,67.44,GER,RECEPTION,0,0,13754,
1,9,Alsmeier Lina ,OH,8,0,3,11,72.73,GER,RECEPTION,0,0,13754,
2,10,Stigrot Lena ,OH,6,1,10,17,29.41,GER,RECEPTION,0,0,13754,
3,6,Janiska Jennifer ,OH,4,0,4,8,50.00,GER,RECEPTION,0,0,13754,
4,7,Vanjak Ivana ,OH,4,0,2,6,66.67,GER,RECEPTION,0,0,13754,
5,12,Orthmann Hanna ,OH,2,1,3,6,16.67,GER,RECEPTION,0,0,13754,
6,24,Cekulaev Anastasia ,MB,1,0,0,1,100.00,GER,RECEPTION,0,0,13754,
7,1,Bock Linda ,L,0,1,1,2,-50.00,GER,RECEPTION,0,0,13754,
8,2,Kästner Pia ,S,0,0,1,1,0.00,GER,RECEPTION,0,0,13754,
9,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,0,0,13754,
10,13,Hippe Saskia ,O,0,0,0,0,,GER,RECEPTION,0,0,13754,
11,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,0,0,13754,
12,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,0,0,13754,
13,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,0,0,13754,
0,4,Pogany Anna (C),L,9,0,6,15,60.00,GER,RECEPTION,1,27,13754,0
1,10,Stigrot Lena ,OH,3,1,2,6,33.33,GER,RECEPTION,1,27,13754,0
2,6,Janiska Jennifer ,OH,1,0,1,2,50.00,GER,RECEPTION,1,27,13754,0
3,12,Orthmann Hanna ,OH,1,0,2,3,33.33,GER,RECEPTION,1,27,13754,0
4,1,Bock Linda ,L,0,0,1,1,0.00,GER,RECEPTION,1,27,13754,0
5,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,1,27,13754,0
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,1,27,13754,0
7,7,Vanjak Ivana ,OH,0,0,0,0,,GER,RECEPTION,1,27,13754,0
8,9,Alsmeier Lina ,OH,0,0,0,0,,GER,RECEPTION,1,27,13754,0
9,13,Hippe Saskia ,O,0,0,0,0,,GER,RECEPTION,1,27,13754,0
10,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,1,27,13754,0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,1,27,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,1,27,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,1,27,13754,0
0,4,Pogany Anna (C),L,5,0,2,7,71.43,GER,RECEPTION,2,25,13754,1
1,10,Stigrot Lena ,OH,3,0,5,8,37.50,GER,RECEPTION,2,25,13754,1
2,9,Alsmeier Lina ,OH,2,0,0,2,100.00,GER,RECEPTION,2,25,13754,1
3,12,Orthmann Hanna ,OH,1,1,0,2,0.00,GER,RECEPTION,2,25,13754,1
4,1,Bock Linda ,L,0,1,0,1,-100.00,GER,RECEPTION,2,25,13754,1
5,2,Kästner Pia ,S,0,0,1,1,0.00,GER,RECEPTION,2,25,13754,1
6,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,2,25,13754,1
7,6,Janiska Jennifer ,OH,0,0,0,0,,GER,RECEPTION,2,25,13754,1
8,7,Vanjak Ivana ,OH,0,0,0,0,,GER,RECEPTION,2,25,13754,1
9,13,Hippe Saskia ,O,0,0,0,0,,GER,RECEPTION,2,25,13754,1
10,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,2,25,13754,1
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,2,25,13754,1
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,2,25,13754,1
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,2,25,13754,1
0,4,Pogany Anna (C),L,9,0,3,12,75.00,GER,RECEPTION,3,25,13754,0
1,9,Alsmeier Lina ,OH,4,0,2,6,66.67,GER,RECEPTION,3,25,13754,0
2,1,Bock Linda ,L,0,0,0,0,,GER,RECEPTION,3,25,13754,0
3,2,Kästner Pia ,S,0,0,0,0,,GER,RECEPTION,3,25,13754,0
4,5,Glaab Corina ,S,0,0,0,0,,GER,RECEPTION,3,25,13754,0
5,6,Janiska Jennifer ,OH,0,0,3,3,0.00,GER,RECEPTION,3,25,13754,0
6,7,Vanjak Ivana ,OH,0,0,0,0,,GER,RECEPTION,3,25,13754,0
7,10,Stigrot Lena ,OH,0,0,3,3,0.00,GER,RECEPTION,3,25,13754,0
8,12,Orthmann Hanna ,OH,0,0,1,1,0.00,GER,RECEPTION,3,25,13754,0
9,13,Hippe Saskia ,O,0,0,0,0,,GER,RECEPTION,3,25,13754,0
10,14,Schölzel Marie ,MB,0,0,0,0,,GER,RECEPTION,3,25,13754,0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,RECEPTION,3,25,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,RECEPTION,3,25,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,RECEPTION,3,25,13754,0
0,4,Pogany Anna (C),L,6,0,3,9,66.67,GER,RECEPTION,4,21,13754,0
1,7,Vanjak Ivana ,OH,4,0,2,6,66.67,GER,RECEPTION,4,21,13754,0
2,6,Janiska Jennifer ,OH,3,0,0,3,100.00,GER,RECEPTION,4,21,13754,0
3,9,Alsmeier Lina ,OH,2,0,1,3,66.67,GER,RECEPTION,4,21,13754,0
4,24,Cekulaev Anastasia ,MB,1,0,0,1,100.00,GER,RECEPTION,4,21,13754,0
5,1,Bock Linda ,L,0,0,0,0,,GER,RECEPTION,4,21,13754,0
