,Player No,Player Name,Position,Total ABS,Attack Points,Block Points,Serve Points,Errors, Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,13,Boz Meryem ,O,17,16,1,0,,13.11,TUR,SCORING,0,0,11831,
1,99,Karakurt Ebrar ,O,16,13,2,1,,19.15,TUR,SCORING,0,0,11831,
2,14,Erdem Dündar Eda (C),MB,15,10,5,0,,-1.61,TUR,SCORING,0,0,11831,
3,19,Kalac Asli ,MB,8,5,1,2,,8.57,TUR,SCORING,0,0,11831,
4,7,Baladin Hande ,OH,6,6,0,0,,0.00,TUR,SCORING,0,0,11831,
5,9,Diken Meliha ,O,6,3,2,1,,3.23,TUR,SCORING,0,0,11831,
6,4,Ivegin Tugba ,OH,4,3,0,1,,-5.88,TUR,SCORING,0,0,11831,
7,3,Özbay Cansu ,S,1,0,1,0,,0.00,TUR,SCORING,0,0,11831,
8,5,Ercan Seyma ,OH,1,1,0,0,,0.00,TUR,SCORING,0,0,11831,
9,8,Guveli Yasemin ,MB,1,0,0,1,,-17.65,TUR,SCORING,0,0,11831,
10,11,Aydemir Akyol Naz ,S,1,0,1,0,,-7.69,TUR,SCORING,0,0,11831,
11,2,Akoz Simge Sebnem ,L,0,0,0,0,,,TUR,SCORING,0,0,11831,
12,6,Akman Kubra ,MB,0,0,0,0,,,TUR,SCORING,0,0,11831,
13,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,,TUR,SCORING,0,0,11831,
0,4,Ivegin Tugba ,OH,4,3,0,1,,0.00,TUR,SCORING,1,25,11831,1
1,13,Boz Meryem ,O,4,4,0,0,,16.67,TUR,SCORING,1,25,11831,1
2,14,Erdem Dündar Eda (C),MB,4,2,2,0,,-7.14,TUR,SCORING,1,25,11831,1
3,99,Karakurt Ebrar ,O,2,2,0,0,,50.00,TUR,SCORING,1,25,11831,1
4,7,Baladin Hande ,OH,1,1,0,0,,20.00,TUR,SCORING,1,25,11831,1
5,8,Guveli Yasemin ,MB,1,0,0,1,,0.00,TUR,SCORING,1,25,11831,1
6,11,Aydemir Akyol Naz ,S,1,0,1,0,,0.00,TUR,SCORING,1,25,11831,1
7,2,Akoz Simge Sebnem ,L,0,0,0,0,,,TUR,SCORING,1,25,11831,1
8,3,Özbay Cansu ,S,0,0,0,0,,,TUR,SCORING,1,25,11831,1
9,5,Ercan Seyma ,OH,0,0,0,0,,,TUR,SCORING,1,25,11831,1
10,6,Akman Kubra ,MB,0,0,0,0,,,TUR,SCORING,1,25,11831,1
11,9,Diken Meliha ,O,0,0,0,0,,,TUR,SCORING,1,25,11831,1
12,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,,TUR,SCORING,1,25,11831,1
13,19,Kalac Asli ,MB,0,0,0,0,,,TUR,SCORING,1,25,11831,1
0,13,Boz Meryem ,O,6,6,0,0,,21.43,TUR,SCORING,2,18,11831,0
1,14,Erdem Dündar Eda (C),MB,4,3,1,0,,30.00,TUR,SCORING,2,18,11831,0
2,7,Baladin Hande ,OH,3,3,0,0,,0.00,TUR,SCORING,2,18,11831,0
3,99,Karakurt Ebrar ,O,1,0,1,0,,-12.50,TUR,SCORING,2,18,11831,0
4,2,Akoz Simge Sebnem ,L,0,0,0,0,,,TUR,SCORING,2,18,11831,0
5,3,Özbay Cansu ,S,0,0,0,0,,,TUR,SCORING,2,18,11831,0
6,4,Ivegin Tugba ,OH,0,0,0,0,,-33.33,TUR,SCORING,2,18,11831,0
7,5,Ercan Seyma ,OH,0,0,0,0,,,TUR,SCORING,2,18,11831,0
8,6,Akman Kubra ,MB,0,0,0,0,,,TUR,SCORING,2,18,11831,0
9,8,Guveli Yasemin ,MB,0,0,0,0,,-37.50,TUR,SCORING,2,18,11831,0
10,9,Diken Meliha ,O,0,0,0,0,,-40.00,TUR,SCORING,2,18,11831,0
11,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,,TUR,SCORING,2,18,11831,0
12,11,Aydemir Akyol Naz ,S,0,0,0,0,,0.00,TUR,SCORING,2,18,11831,0
13,19,Kalac Asli ,MB,0,0,0,0,,,TUR,SCORING,2,18,11831,0
0,99,Karakurt Ebrar ,O,8,7,0,1,,53.85,TUR,SCORING,3,25,11831,1
1,13,Boz Meryem ,O,4,4,0,0,,11.76,TUR,SCORING,3,25,11831,1
2,14,Erdem Dündar Eda (C),MB,3,1,2,0,,-18.75,TUR,SCORING,3,25,11831,1
3,9,Diken Meliha ,O,2,1,0,1,,25.00,TUR,SCORING,3,25,11831,1
4,19,Kalac Asli ,MB,2,1,0,1,,-12.50,TUR,SCORING,3,25,11831,1
5,5,Ercan Seyma ,OH,1,1,0,0,,20.00,TUR,SCORING,3,25,11831,1
6,2,Akoz Simge Sebnem ,L,0,0,0,0,,,TUR,SCORING,3,25,11831,1
7,3,Özbay Cansu ,S,0,0,0,0,,0.00,TUR,SCORING,3,25,11831,1
8,4,Ivegin Tugba ,OH,0,0,0,0,,,TUR,SCORING,3,25,11831,1
9,6,Akman Kubra ,MB,0,0,0,0,,,TUR,SCORING,3,25,11831,1
10,7,Baladin Hande ,OH,0,0,0,0,,0.00,TUR,SCORING,3,25,11831,1
11,8,Guveli Yasemin ,MB,0,0,0,0,,,TUR,SCORING,3,25,11831,1
12,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,,TUR,SCORING,3,25,11831,1
13,11,Aydemir Akyol Naz ,S,0,0,0,0,,0.00,TUR,SCORING,3,25,11831,1
